Names,Village,Monthly Income,Family Members,Connected to grid,Why not connected to grid?,Electricity available per day(in hrs),Electrical appliances,Mobile Charger(Wh),5W LED Torch,10W LED Torch,5W LED Bulb(Wh),10W LED Bulb(Wh),45W Fan(Wh),55W TV(Wh),130W Fridge(Wh),Source of fuel for  cooking,Electric meter,Electric bill of last month,Power cuts per week,Voltage problems if any,Worst months for service from the grid,Household members affected,Serious problems you experience with grid electricity,How often you pay for electricity bill,Who do you pay,How do you make your payment,Household members die because of the grid electricity,Solar devices,Why no Solar?,Solar Usage (Months),Cost of Solar,Savings after installing a solar light,Willing to shift to solar applicanes,Rechargeable batteries,Use of batteries,Cost of rechargeable battery,Electricity source to recharge the battery,Did you use KEROSENE/FUEL-BASED /CANDLE LIGHTING,Fuel source for LAMP,How often the [FUEL TYPE] available,How many months does it rain,Maximum temperature in Summer,Minimum temperature in Winter,Why no solar?,Capacity(Wh),Units Monthly,Capacity Tier,Availabilty Tier,Reliability Tier,Quality Tier,Affordability Tier,Legality Tier,Health & Safety Tier,Tier Ranking
John Hunt,Village 2,13875,8,No,Can't afford electricity bill,3,9,10,0,20,20,20,90,110,390,Kerosene,No,228.77288,4,Electrical applicances getting affected,"['April', 'December', 'August']","['Children could not study', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Monthly,No one (for free),Pay at the utility office,Yes,Yes,Already using,6-12 months,2485,956,Already using,Yes,Appliances,1965,Solar,No,Biogas,Rarely available,4,42,10,No subsidies are provided,660,19.8,2,0,4,3,5,3,3,0
Angela Aguero,Village 2,12745,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,Kerosene,Yes,228.77288,4,Fluctuations,"['February', 'November', 'March']","['Could not cook', 'Could not charge a phone']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,Landlord,Pay at the utility office,Yes,Yes,Already using,3-6 months,2326,769,Already using,Yes,Lighting,1747,Solar,No,Biogas,Sometimes available,4,42,10,Initial investment is high,660,19.8,2,0,4,3,5,5,3,0
Dorothy Dekker,Village 3,9277,4,No,Connection cost is very high,4,5,15,0,20,20,40,180,0,0,Kerosene,No,162.9887,16,No Problem,"['August', 'February', 'April']","['Could not operate a household business', 'Could not cook']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,362,Shop,No,Kerosene,Always available,4,42,10,Initial investment is high,275,8.25,2,2,3,5,5,3,3,2
Winifred Clark,Village 4,4133,3,No,Can't afford electricity bill,5,4,15,10,0,20,40,0,0,0,Kerosene,No,130.52378,20,Long Power Cuts,"['October', 'December', 'August']","['Could not cook', 'Children could not study']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,672,Shop,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,3,2,3,5,1
Patricia Adkins,Village 3,7045,5,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,16,Long Power Cuts,"['August', 'March', 'June']","['Could not cook', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,Pre-paid meter card seller,Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1303,Shop,No,Diesel,Always available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,3,2
Judith Osgood,Village 3,14783,7,Yes,Already Connected,4,7,15,0,20,40,40,180,220,0,LPG,Yes,203.99702,16,No Problem,"['May', 'March', 'April']","['Could not operate a household business', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,Community/village/municipality,Online,No,Yes,Already using,3-6 months,1170,1203,Already using,Yes,Appliances,808,Solar,No,Diesel,Always available,4,42,10,No subsidies are provided,515,15.45,2,2,3,5,5,5,5,2
Giuseppe Duarte,Village 2,14215,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,Kerosene,Yes,228.77288,4,Long Power Cuts,"['January', 'September', 'August']","['Could not cook', 'Could not operate a household business']","['Maintenance/service problems', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Online,No,Yes,Already using,3-6 months,1358,1263,Already using,Yes,Appliances,410,Solar,No,Kerosene,Sometimes available,4,42,10,No subsidies are provided,660,19.8,2,0,4,3,5,5,5,0
Kimberly Madrigal,Village 2,9209,5,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,202,Shop,No,Biogas,Rarely available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Peter Lewis,Village 1,14058,8,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,3-6 months,2290,1176,Already using,Yes,NA,NA,Shop,No,Biogas,Sometimes available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Joseph Farquhar,Village 1,9380,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,Kerosene,Yes,322.75028,8,Fluctuations,"['May', 'August', 'February']","['Children could not study', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,Community/village/municipality,Cash,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Biogas,Always available,4,42,10,Initial investment is high,1210,36.3,3,4,4,3,5,5,3,3
Mark Reier,Village 4,9792,4,Yes,Already Connected,5,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,20,Long Power Cuts,"['February', 'April', 'September']","['Children could not study', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Cash,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1385,Grid,No,Kerosene,Rarely available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,5,2
Michelle Brooks,Village 4,13710,7,No,Can't afford electricity bill,5,7,15,0,20,40,40,180,220,0,Kerosene,No,203.99702,20,Long Power Cuts,"['February', 'March', 'April']","['Could not operate a household business', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Cash,Yes,Yes,Already using,More than a year,1510,627,Already using,Yes,Lighting,1623,Solar,No,Biogas,Sometimes available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,3,3,2
Edward Barros,Village 2,3053,2,Yes,Already Connected,3,3,10,5,0,10,0,0,0,0,Kerosene,Yes,113.2516,4,Fluctuations,"['August', 'December', 'March']","['Children could not study', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,Community/village/municipality,Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1362,Grid,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,3,2,5,3,0
Anne Kim,Village 4,6084,5,No,Can't afford electricity bill,5,5,15,0,20,20,40,180,0,0,Kerosene,No,162.9887,20,Long Power Cuts,"['January', 'November', 'March']","['Children could not study', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1120,Grid,No,Diesel,Sometimes available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,2,3,5,2
Anita Scherrer,Village 4,3963,3,Yes,Already Connected,5,4,15,10,0,20,40,0,0,0,Kerosene,Yes,130.52378,20,No Problem,"['November', 'October', 'February']","['Children could not study', 'Could not cook']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,Pre-paid meter card seller,Online,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1315,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,5,3,1
Dawn Hoemann,Village 1,4528,3,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,NA,NA,Shop,No,Diesel,Always available,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Octavia Ramirez,Village 4,4058,3,Yes,Already Connected,5,4,15,10,0,20,40,0,0,0,LPG,Yes,130.52378,20,No Problem,"['June', 'December', 'February']","['Children could not study', 'Could not operate a household business']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Cash,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,884,Shop,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,5,5,1
Jodi Dubose,Village 3,14531,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,6-12 months,1734,1461,Already using,Yes,Appliances,761,Shop,No,Kerosene,Always available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Kenneth Parker,Village 2,10041,7,No,Connection cost is very high,3,7,10,0,10,20,20,90,110,0,LPG,No,160.42568,4,Fluctuations,"['November', 'February', 'August']","['Could not cook', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,No one (for free),Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,400,Grid,No,Biogas,Sometimes available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,3,3,0
Elizabeth Rose,Village 3,6715,4,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,16,Long Power Cuts,"['June', 'September', 'December']","['Could not operate a household business', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,Pre-paid meter card seller,Pay at the utility office,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1824,Shop,No,Diesel,Rarely available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,5,2
Geraldine Casey,Village 1,4678,2,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,NA,NA,Shop,No,Kerosene,Rarely available,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Zachary Barnes,Village 4,9764,6,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,20,Fluctuations,"['September', 'August', 'February']","['Could not charge a phone', 'Could not operate a household business']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,Community/village/municipality,Pay at the utility office,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1172,Grid,No,Kerosene,Always available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,5,5,2
James Morales,Village 2,4636,2,No,Connection cost is very high,3,3,10,5,0,10,0,0,0,0,LPG,No,113.2516,4,Long Power Cuts,"['December', 'May', 'June']","['Machines/appliances were damaged', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,No one (for free),Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,380,Shop,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,3,2,3,3,0
Helen Iverson,Village 2,11970,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,LPG,Yes,228.77288,4,Fluctuations,"['March', 'October', 'September']","['Could not operate a household business', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,Pre-paid meter card seller,Online,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,653,Shop,No,Biogas,Always available,4,42,10,Initial investment is high,660,19.8,2,0,4,3,5,5,3,0
Connie Lake,Village 2,10535,7,No,Can't afford electricity bill,3,7,10,0,10,20,20,90,110,0,LPG,No,160.42568,4,Long Power Cuts,"['December', 'June', 'October']","['Could not operate a household business', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1360,Shop,No,Biogas,Sometimes available,4,42,10,Initial investment is high,260,7.8,2,0,4,3,5,3,3,0
Micheal Stern,Village 4,11780,7,No,Can't afford electricity bill,5,7,15,0,20,40,40,180,220,0,Kerosene,No,203.99702,20,No Problem,"['December', 'March', 'September']","['Children could not study', 'Could not cook']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,542,Shop,No,Biogas,Always available,4,42,10,Initial investment is high,515,15.45,2,2,3,5,5,3,3,2
Lewis Davila,Village 4,8550,5,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1411,Shop,No,Biogas,Always available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
James Sheeran,Village 1,3790,3,Yes,Already Connected,22,4,30,10,0,50,80,0,0,0,LPG,Yes,145.04756,8,Electrical applicances getting affected,"['November', 'March', 'September']","['Could not operate a household business', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Community/village/municipality,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Kerosene,Always available,4,42,10,Low income,170,5.1,1,4,4,3,2,5,3,1
Mary Daniels,Village 2,7886,6,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,714,Shop,No,Biogas,Rarely available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
James Lawrence,Village 2,4530,2,Yes,Already Connected,3,3,10,5,0,10,0,0,0,0,Kerosene,Yes,113.2516,4,No Problem,"['March', 'December', 'April']","['Children could not study', 'Could not operate a household business']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,Pre-paid meter card seller,Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,567,Grid,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,5,2,5,5,0
Lauri Vasquez,Village 2,4313,2,No,Connection cost is very high,3,3,10,5,0,10,0,0,0,0,Kerosene,No,113.2516,4,Electrical applicances getting affected,"['January', 'October', 'August']","['Could not charge a phone', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Cash,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1831,Shop,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,3,2,3,3,0
Emma Maples,Village 1,3672,3,Yes,Already Connected,22,4,30,10,0,50,80,0,0,0,LPG,Yes,145.04756,8,Fluctuations,"['October', 'September', 'May']","['Could not cook', 'Could not operate a household business']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,Community/village/municipality,Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Diesel,Always available,4,42,10,Low income,170,5.1,1,4,4,3,2,5,5,1
Wayne Charles,Village 3,8463,4,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,16,Long Power Cuts,"['November', 'January', 'February']","['Machines/appliances were damaged', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,Landlord,Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,950,Shop,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,3,2
Timothy Davis,Village 4,5913,6,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,20,Fluctuations,"['December', 'October', 'February']","['Could not cook', 'Could not operate a household business']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1429,Shop,Yes,NA,NA,4,42,10,Initial investment is high,515,15.45,2,2,3,3,2,5,3,2
Michelle Colby,Village 3,3135,2,Yes,Already Connected,4,3,15,10,0,20,0,0,0,0,Kerosene,Yes,123.68906,16,No Problem,"['November', 'January', 'October']","['Children could not study', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,Community/village/municipality,Pay at the utility office,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1856,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,5,2,5,3,1
Tracy Kamiya,Village 2,7166,5,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1450,Shop,No,Kerosene,Always available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Charles Ortiz,Village 1,5166,6,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,NA,NA,Shop,No,Biogas,Sometimes available,4,42,10,Initial investment is high,0,0,0,0,5,3,2,5,3,0
Gilbert Mcconkey,Village 4,11653,7,No,Can't afford electricity bill,5,7,15,0,20,40,40,180,220,0,Kerosene,No,203.99702,20,Long Power Cuts,"['November', 'August', 'May']","['Machines/appliances were damaged', 'Children could not study']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,No one (for free),Cash,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1577,Grid,No,Diesel,Always available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,3,3,2
Melinda Mooney,Village 3,6470,6,No,Can't afford electricity bill,4,7,15,0,20,40,40,180,220,0,LPG,No,203.99702,16,Fluctuations,"['November', 'September', 'August']","['Could not operate a household business', 'Children could not study']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Online,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,687,Shop,No,Biogas,Rarely available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,3,3,2
Greg Vasquez,Village 1,3160,3,Yes,Already Connected,22,4,30,10,0,50,80,0,0,0,LPG,Yes,145.04756,8,Long Power Cuts,"['April', 'February', 'December']","['Could not operate a household business', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Biogas,Sometimes available,4,42,10,Low income,170,5.1,1,4,4,3,2,5,3,1
Clarice Fontaine,Village 1,6549,5,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,NA,NA,Shop,No,Biogas,Sometimes available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Justin Kimball,Village 4,13706,7,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,LPG,Yes,203.99702,20,Electrical applicances getting affected,"['February', 'August', 'January']","['Could not cook', 'Children could not study']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,Pre-paid meter card seller,Online,No,Yes,Already using,3-6 months,1503,862,Already using,Yes,Lighting,1435,Solar,No,Diesel,Rarely available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,5,5,2
Mary Adams,Village 2,4039,2,No,Connection cost is very high,3,3,10,5,0,10,0,0,0,0,Kerosene,No,113.2516,4,Long Power Cuts,"['October', 'February', 'December']","['Machines/appliances were damaged', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1601,Grid,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,3,2,3,3,0
Jamie Johnson,Village 2,9497,5,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,LPG,Yes,139.92152,4,Fluctuations,"['November', 'August', 'June']","['Children could not study', 'Could not operate a household business']","['Maintenance/service problems', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1245,Grid,No,Diesel,Rarely available,4,42,10,Initial investment is high,140,4.2,1,0,4,3,5,5,5,0
Jose Villalva,Village 1,5543,5,Yes,Already Connected,22,5,30,0,20,50,80,540,0,0,LPG,Yes,239.02496,8,Long Power Cuts,"['January', 'March', 'February']","['Could not operate a household business', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Landlord,Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,720,21.6,2,4,4,3,2,5,5,2
Teresa Emery,Village 3,3697,3,Yes,Already Connected,4,4,15,10,0,20,40,0,0,0,LPG,Yes,130.52378,16,No Problem,"['May', 'December', 'August']","['Could not cook', 'Children could not study']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Pre-paid meter card seller,Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1507,Shop,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,5,3,1
Alphonse Yahna,Village 2,10840,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,683,Shop,No,Biogas,Always available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Jared Lehoux,Village 3,10473,8,No,Connection cost is very high,4,9,15,0,40,40,40,180,220,520,Kerosene,No,296.26574,16,Electrical applicances getting affected,"['December', 'September', 'April']","['Could not charge a phone', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1736,Grid,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,1055,31.65,3,2,3,3,5,3,3,2
Clifton Tardiff,Village 2,3624,3,No,Connection cost is very high,3,4,10,5,0,10,20,0,0,0,LPG,No,123.68906,4,Electrical applicances getting affected,"['January', 'December', 'October']","['Could not operate a household business', 'Could not cook']","['Unexpectedly high bills', 'Maintenance/service problems']",Weekly,No one (for free),Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1993,Grid,Yes,NA,NA,4,42,10,Low income,45,1.35,1,0,4,3,2,3,3,0
James Graham,Village 4,12093,7,No,Connection cost is very high,5,7,15,0,20,40,40,180,220,0,Kerosene,No,203.99702,20,Fluctuations,"['February', 'January', 'August']","['Machines/appliances were damaged', 'Could not cook']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,No one (for free),Online,No,Yes,Already using,More than a year,2170,1378,Already using,Yes,Appliances,722,Solar,No,Kerosene,Sometimes available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,3,5,2
Phil Richards,Village 1,12912,7,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,Long Power Cuts,"['June', 'May', 'February']","['Children could not study', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Unexpectedly high bills']",Weekly,Landlord,Online,No,Yes,Already using,6-12 months,1645,635,Already using,No,NA,NA,NA,No,Diesel,Always available,4,42,10,No subsidies are provided,1210,36.3,3,4,4,3,5,5,5,3
Mary Parr,Village 2,3016,2,Yes,Already Connected,3,3,10,5,0,10,0,0,0,0,LPG,Yes,113.2516,4,Electrical applicances getting affected,"['September', 'December', 'November']","['Could not operate a household business', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Monthly,Community/village/municipality,Cash,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,955,Shop,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,3,2,5,3,0
Patricia Brawner,Village 4,4722,3,No,Connection cost is very high,5,4,15,10,0,20,40,0,0,0,Kerosene,No,130.52378,20,Electrical applicances getting affected,"['December', 'August', 'March']","['Could not charge a phone', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Monthly,No one (for free),Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,913,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,3,2,3,5,1
Julia Toney,Village 3,5610,5,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,16,Electrical applicances getting affected,"['October', 'September', 'February']","['Could not charge a phone', 'Could not cook']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1226,Shop,Yes,NA,NA,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,2,5,3,2
James Labbie,Village 2,11506,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,Kerosene,Yes,228.77288,4,No Problem,"['June', 'January', 'October']","['Machines/appliances were damaged', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,Landlord,Cash,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1268,Grid,No,Biogas,Rarely available,4,42,10,No subsidies are provided,660,19.8,2,0,4,5,5,5,5,0
